frequency,signal_date,common_names,median_available_factors,minimum_available_factors
weekly,2021-04-23,500,14.0,10
weekly,2021-04-30,500,14.0,10
weekly,2021-05-07,500,14.0,10
weekly,2021-05-14,500,14.0,10
weekly,2021-05-21,500,14.0,10
weekly,2021-05-28,500,14.0,10
weekly,2021-06-04,499,14.0,10
weekly,2021-06-11,499,14.0,10
weekly,2021-06-18,499,14.0,10
weekly,2021-06-25,499,14.0,10
weekly,2021-07-02,499,14.0,10
weekly,2021-07-09,499,14.0,10
weekly,2021-07-16,499,14.0,10
weekly,2021-07-23,499,14.0,10
weekly,2021-07-30,499,14.0,10
weekly,2021-08-06,499,14.0,10
weekly,2021-08-13,499,14.0,10
weekly,2021-08-20,499,14.0,10
weekly,2021-08-27,498,14.0,10
weekly,2021-09-03,499,14.0,10
weekly,2021-09-10,499,14.0,10
weekly,2021-09-17,499,14.0,10
weekly,2021-09-24,499,14.0,10
weekly,2021-10-01,499,14.0,10
weekly,2021-10-08,499,14.0,10
weekly,2021-10-15,499,14.0,10
weekly,2021-10-22,499,14.0,10
weekly,2021-10-29,499,14.0,10
weekly,2021-11-05,499,14.0,10
weekly,2021-11-12,499,14.0,11
weekly,2021-11-19,499,14.0,11
weekly,2021-11-26,499,14.0,11
weekly,2021-12-03,499,14.0,11
weekly,2021-12-10,499,14.0,11
weekly,2021-12-17,499,14.0,11
weekly,2021-12-23,499,14.0,11
weekly,2021-12-31,499,14.0,11
weekly,2022-01-07,499,14.0,11
weekly,2022-01-14,499,14.0,11
weekly,2022-01-21,499,14.0,11
weekly,2022-01-28,499,14.0,11
weekly,2022-02-04,498,14.0,11
weekly,2022-02-11,498,14.0,11
weekly,2022-02-18,498,14.0,11
weekly,2022-02-25,498,14.0,11
weekly,2022-03-04,499,14.0,11
weekly,2022-03-11,499,14.0,11
weekly,2022-03-18,499,14.0,11
weekly,2022-03-25,499,14.0,11
weekly,2022-04-01,499,14.0,11
weekly,2022-04-08,499,14.0,11
weekly,2022-04-14,498,14.0,11
weekly,2022-04-22,498,14.0,11
weekly,2022-04-29,498,14.0,11
weekly,2022-05-06,498,14.0,11
weekly,2022-05-13,499,14.0,10
weekly,2022-05-20,499,14.0,11
weekly,2022-05-27,499,14.0,11
weekly,2022-06-03,499,14.0,11
weekly,2022-06-10,499,14.0,11
weekly,2022-06-17,499,14.0,11
weekly,2022-06-24,498,14.0,11
weekly,2022-07-01,498,14.0,11
weekly,2022-07-08,498,14.0,11
weekly,2022-07-15,498,14.0,11
weekly,2022-07-22,498,14.0,11
weekly,2022-07-29,498,14.0,11
weekly,2022-08-05,498,14.0,11
weekly,2022-08-12,498,14.0,11
weekly,2022-08-19,498,14.0,11
weekly,2022-08-26,498,14.0,11
weekly,2022-09-02,498,14.0,11
weekly,2022-09-09,498,14.0,11
weekly,2022-09-16,498,14.0,11
weekly,2022-09-23,498,14.0,11
weekly,2022-09-30,497,14.0,11
weekly,2022-10-07,498,14.0,11
weekly,2022-10-14,498,14.0,11
weekly,2022-10-21,498,14.0,11
weekly,2022-10-28,497,14.0,11
weekly,2022-11-04,498,14.0,11
weekly,2022-11-11,498,14.0,11
weekly,2022-11-18,498,14.0,11
weekly,2022-11-25,498,14.0,11
weekly,2022-12-02,498,14.0,11
weekly,2022-12-09,498,14.0,11
weekly,2022-12-16,498,14.0,11
weekly,2022-12-23,498,14.0,11
weekly,2022-12-30,498,14.0,11
weekly,2023-01-06,497,14.0,11
weekly,2023-01-13,497,14.0,11
weekly,2023-01-20,497,14.0,11
weekly,2023-01-27,497,14.0,11
weekly,2023-02-03,497,14.0,11
weekly,2023-02-10,497,14.0,11
weekly,2023-02-17,498,14.0,11
weekly,2023-02-24,498,14.0,11
weekly,2023-03-03,498,14.0,11
weekly,2023-03-10,497,14.0,11
weekly,2023-03-17,498,14.0,11
weekly,2023-03-24,498,14.0,11
weekly,2023-03-31,498,14.0,11
weekly,2023-04-06,498,14.0,11
weekly,2023-04-14,498,14.0,11
weekly,2023-04-21,498,14.0,11
weekly,2023-04-28,498,14.0,11
weekly,2023-05-05,499,14.0,11
weekly,2023-05-12,499,14.0,11
weekly,2023-05-19,499,14.0,11
weekly,2023-05-26,499,14.0,11
weekly,2023-06-02,499,14.0,11
weekly,2023-06-09,499,14.0,11
weekly,2023-06-16,499,14.0,11
weekly,2023-06-23,499,14.0,11
weekly,2023-06-30,499,14.0,11
weekly,2023-07-07,499,14.0,11
weekly,2023-07-14,499,14.0,11
weekly,2023-07-21,499,14.0,11
weekly,2023-07-28,499,14.0,11
weekly,2023-08-04,499,14.0,11
weekly,2023-08-11,499,14.0,11
weekly,2023-08-18,499,14.0,11
weekly,2023-08-25,498,14.0,11
weekly,2023-09-01,498,14.0,11
weekly,2023-09-08,498,14.0,11
weekly,2023-09-15,498,14.0,11
weekly,2023-09-22,498,14.0,11
weekly,2023-09-29,498,14.0,11
weekly,2023-10-06,497,14.0,11
weekly,2023-10-13,496,14.0,11
weekly,2023-10-20,497,14.0,11
weekly,2023-10-27,497,14.0,11
weekly,2023-11-03,497,14.0,11
weekly,2023-11-10,497,14.0,11
weekly,2023-11-17,497,14.0,11
weekly,2023-11-24,497,14.0,11
weekly,2023-12-01,497,14.0,11
weekly,2023-12-08,497,14.0,11
weekly,2023-12-15,497,14.0,11
weekly,2023-12-22,497,14.0,11
weekly,2023-12-29,497,14.0,11
weekly,2024-01-05,497,14.0,11
weekly,2024-01-12,497,14.0,11
weekly,2024-01-19,497,14.0,11
weekly,2024-01-26,497,14.0,11
weekly,2024-02-02,497,14.0,11
weekly,2024-02-09,498,14.0,11
weekly,2024-02-16,498,14.0,11
weekly,2024-02-23,498,14.0,11
weekly,2024-03-01,498,14.0,11
weekly,2024-03-08,499,14.0,11
weekly,2024-03-15,499,14.0,11
weekly,2024-03-22,499,14.0,11
weekly,2024-03-28,499,14.0,11
weekly,2024-04-05,497,14.0,11
weekly,2024-04-12,497,14.0,11
weekly,2024-04-19,497,14.0,11
weekly,2024-04-26,497,14.0,11
weekly,2024-05-03,496,14.0,11
weekly,2024-05-10,498,14.0,10
weekly,2024-05-17,498,14.0,10
weekly,2024-05-24,498,14.0,10
weekly,2024-05-31,498,14.0,10
weekly,2024-06-07,498,14.0,10
weekly,2024-06-14,498,14.0,10
weekly,2024-06-21,498,14.0,10
weekly,2024-06-28,498,14.0,10
weekly,2024-07-05,498,14.0,10
weekly,2024-07-12,499,14.0,10
weekly,2024-07-19,499,14.0,10
weekly,2024-07-26,499,14.0,10
weekly,2024-08-02,499,14.0,10
weekly,2024-08-09,499,14.0,10
weekly,2024-08-16,499,14.0,10
weekly,2024-08-23,499,14.0,10
weekly,2024-08-30,499,14.0,10
weekly,2024-09-06,499,14.0,10
weekly,2024-09-13,499,14.0,10
weekly,2024-09-20,499,14.0,10
weekly,2024-09-27,499,14.0,10
weekly,2024-10-04,499,14.0,10
weekly,2024-10-11,499,14.0,10
weekly,2024-10-18,499,14.0,10
weekly,2024-10-25,499,14.0,10
weekly,2024-11-01,499,14.0,10
weekly,2024-11-08,499,14.0,10
weekly,2024-11-15,499,14.0,10
weekly,2024-11-22,498,14.0,10
weekly,2024-11-29,499,14.0,10
weekly,2024-12-06,499,14.0,10
weekly,2024-12-13,499,14.0,10
weekly,2024-12-20,498,14.0,10
weekly,2024-12-27,500,14.0,10
weekly,2025-01-03,500,14.0,10
weekly,2025-01-10,500,14.0,10
weekly,2025-01-17,500,14.0,10
weekly,2025-01-24,500,14.0,10
weekly,2025-01-31,500,14.0,10
