factor_id,frequency,top_k,cost_bps,path_type,maximum_abs_diff,identity_passed
XS008_SAME_MONTH_5Y,monthly,10,10,factor_topk,1.16157083951407e-14,True
XS008_SAME_MONTH_5Y,monthly,10,20,factor_topk,8.604228440844963e-15,True
XS008_SAME_MONTH_5Y,monthly,20,0,factor_topk,3.552713678800501e-15,True
XS008_SAME_MONTH_5Y,monthly,20,5,factor_topk,2.0872192862952943e-14,True
XS008_SAME_MONTH_5Y,monthly,20,10,factor_topk,9.325873406851315e-15,True
XS008_SAME_MONTH_5Y,monthly,20,20,factor_topk,1.2656542480726785e-14,True
XS008_SAME_MONTH_5Y,monthly,50,0,factor_topk,6.938893903907228e-17,True
XS008_SAME_MONTH_5Y,monthly,50,5,factor_topk,2.1538326677728037e-14,True
XS008_SAME_MONTH_5Y,monthly,50,10,factor_topk,2.375877272697835e-14,True
XS008_SAME_MONTH_5Y,monthly,50,20,factor_topk,2.1094237467877974e-14,True
XS008_SAME_MONTH_5Y,weekly,5,0,factor_topk,3.552713678800501e-15,True
XS008_SAME_MONTH_5Y,weekly,5,5,factor_topk,3.9968028886505635e-15,True
XS008_SAME_MONTH_5Y,weekly,5,10,factor_topk,2.4646951146678475e-14,True
XS008_SAME_MONTH_5Y,weekly,5,20,factor_topk,1.5015766408055242e-14,True
XS008_SAME_MONTH_5Y,weekly,10,0,factor_topk,9.71445146547012e-17,True
XS008_SAME_MONTH_5Y,weekly,10,5,factor_topk,3.913536161803677e-15,True
XS008_SAME_MONTH_5Y,weekly,10,10,factor_topk,9.742207041085749e-15,True
XS008_SAME_MONTH_5Y,weekly,10,20,factor_topk,2.0539125955565396e-15,True
XS008_SAME_MONTH_5Y,weekly,20,0,factor_topk,8.326672684688674e-17,True
XS008_SAME_MONTH_5Y,weekly,20,5,factor_topk,9.103828801926284e-15,True
XS008_SAME_MONTH_5Y,weekly,20,10,factor_topk,1.1823875212257917e-14,True
XS008_SAME_MONTH_5Y,weekly,20,20,factor_topk,1.0269562977782698e-14,True
XS008_SAME_MONTH_5Y,weekly,50,0,factor_topk,5.551115123125783e-17,True
XS008_SAME_MONTH_5Y,weekly,50,5,factor_topk,2.4646951146678475e-14,True
XS008_SAME_MONTH_5Y,weekly,50,10,factor_topk,2.0594637106796654e-14,True
XS008_SAME_MONTH_5Y,weekly,50,20,factor_topk,1.0630385460785874e-14,True
XS013_LOW_BETA_FP,monthly,5,0,factor_topk,9.8879238130678e-17,True
XS013_LOW_BETA_FP,monthly,5,5,factor_topk,1.659783421814609e-14,True
XS013_LOW_BETA_FP,monthly,5,10,factor_topk,1.7361112547575885e-14,True
XS013_LOW_BETA_FP,monthly,5,20,factor_topk,1.770111834886734e-14,True
XS013_LOW_BETA_FP,monthly,10,0,factor_topk,4.440892098500626e-16,True
XS013_LOW_BETA_FP,monthly,10,5,factor_topk,9.992007221626409e-15,True
XS013_LOW_BETA_FP,monthly,10,10,factor_topk,4.884981308350689e-15,True
XS013_LOW_BETA_FP,monthly,10,20,factor_topk,2.1760371282653068e-14,True
XS013_LOW_BETA_FP,monthly,20,0,factor_topk,8.326672684688674e-17,True
XS013_LOW_BETA_FP,monthly,20,5,factor_topk,7.105427357601002e-15,True
XS013_LOW_BETA_FP,monthly,20,10,factor_topk,1.5376588891058418e-14,True
XS013_LOW_BETA_FP,monthly,20,20,factor_topk,1.3766765505351941e-14,True
XS013_LOW_BETA_FP,monthly,50,0,factor_topk,5.551115123125783e-17,True
XS013_LOW_BETA_FP,monthly,50,5,factor_topk,2.6201263381153694e-14,True
XS013_LOW_BETA_FP,monthly,50,10,factor_topk,2.1316282072803006e-14,True
XS013_LOW_BETA_FP,monthly,50,20,factor_topk,3.1530333899354446e-14,True
XS013_LOW_BETA_FP,weekly,5,0,factor_topk,8.326672684688674e-17,True
XS013_LOW_BETA_FP,weekly,5,5,factor_topk,1.2927159342979166e-14,True
XS013_LOW_BETA_FP,weekly,5,10,factor_topk,1.3614109839465982e-14,True
XS013_LOW_BETA_FP,weekly,5,20,factor_topk,1.554312234475219e-14,True
XS013_LOW_BETA_FP,weekly,10,0,factor_topk,5.551115123125783e-17,True
XS013_LOW_BETA_FP,weekly,10,5,factor_topk,1.0241807402167069e-14,True
XS013_LOW_BETA_FP,weekly,10,10,factor_topk,7.771561172376096e-15,True
XS013_LOW_BETA_FP,weekly,10,20,factor_topk,1.712519015484304e-14,True
XS013_LOW_BETA_FP,weekly,20,0,factor_topk,2.7755575615628914e-17,True
XS013_LOW_BETA_FP,weekly,20,5,factor_topk,1.1934897514720433e-14,True
XS013_LOW_BETA_FP,weekly,20,10,factor_topk,3.0031532816110484e-14,True
XS013_LOW_BETA_FP,weekly,20,20,factor_topk,2.375877272697835e-14,True
XS013_LOW_BETA_FP,weekly,50,0,factor_topk,9.71445146547012e-17,True
