factor_id,frequency,year,median_rank_ic,mean_rank_ic,signal_dates
XS020_VOLUME_SHOCK_50D,weekly,2023,0.028542742077092932,0.011616412040580976,52
XS020_VOLUME_SHOCK_50D,weekly,2024,0.001056702959688252,-0.002449344926316582,52
XS020_VOLUME_SHOCK_50D,weekly,2025,0.020028309787210024,0.009813867372200616,52
XS020_VOLUME_SHOCK_50D,weekly,2026,0.04736433906423122,0.03730995694478348,25
XS032_GROSS_PROFIT_AT,monthly,2017,0.0625786964545588,0.0625786964545588,1
XS032_GROSS_PROFIT_AT,monthly,2018,0.06376727865598454,0.04397234413084342,12
XS032_GROSS_PROFIT_AT,monthly,2019,0.0006896565524734215,0.0138586410711394,12
XS032_GROSS_PROFIT_AT,monthly,2020,0.07263305710755824,0.0371465004378159,12
XS032_GROSS_PROFIT_AT,monthly,2021,0.03868612245009109,0.02457126192452702,12
XS032_GROSS_PROFIT_AT,monthly,2022,-0.005045019113467372,-0.02131294674923741,12
XS032_GROSS_PROFIT_AT,monthly,2023,0.0229464809266028,0.021780879109594743,12
XS032_GROSS_PROFIT_AT,monthly,2024,-0.009023784998196432,0.0025667928493670277,12
XS032_GROSS_PROFIT_AT,monthly,2025,-0.013819178752991185,-0.012469918327619317,12
XS032_GROSS_PROFIT_AT,monthly,2026,-0.04542852798639492,-0.06356375220065887,4
XS032_GROSS_PROFIT_AT,weekly,2017,-0.01176585791612471,-0.01176585791612471,1
XS032_GROSS_PROFIT_AT,weekly,2018,0.028352921580796338,0.02806478111293634,52
XS032_GROSS_PROFIT_AT,weekly,2019,0.016553235374322607,0.010491803328595081,52
XS032_GROSS_PROFIT_AT,weekly,2020,0.004880243108124415,0.011671974545401347,53
XS032_GROSS_PROFIT_AT,weekly,2021,0.017945420545336963,0.013418410018979757,52
XS032_GROSS_PROFIT_AT,weekly,2022,-1.9130233521827856e-05,-0.005503500808301696,52
XS032_GROSS_PROFIT_AT,weekly,2023,-0.004797258019424362,0.0004227755354163261,52
XS032_GROSS_PROFIT_AT,weekly,2024,-0.01961317392817194,0.001956413614481973,52
XS032_GROSS_PROFIT_AT,weekly,2025,-0.016064723103339264,-0.012192287958614174,52
